gender,car_owner,propert_owner,children,annual_income,type_income,education,marital_status,housing_type,mobile_phone,work_phone,phone,email_id,type_occupation,family_members,label,age,employee_status
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Sales staff,1,1,25.0,0
M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unidentified,2,1,57.0,1
M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,1,0,0,0,unidentified,2,1,64.0,1
F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,unidentified,2,1,59.0,1
F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Waiters/barmen staff,3,1,24.0,0
M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,35.0,0
F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,2,1,41.0,0
F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,52.0,0
F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,1,0,0,0,Laborers,3,1,26.0,0
F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,1,0,1,0,Sales staff,2,1,38.0,0
F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,37.0,0
F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Accountants,2,1,30.0,0
F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,0,Accountants,2,1,30.0,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,42.0,0
F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,4,1,39.0,0
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,1,1,0,0,unidentified,3,1,33.0,0
F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,1,1,0,0,unidentified,3,1,33.0,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,1,37.0,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,1,37.0,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2,1,37.0,0
M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,51.0,0
F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,1,1,1,0,Accountants,2,1,55.0,0
M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,unidentified,3,1,34.0,0
F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Security staff,2,1,42.0,0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,29.0,0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,1,29.0,0
M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,1,47.0,0
F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,60.0,1
M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Core staff,3,1,41.0,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,1,0,0,0,Core staff,1,1,54.0,0
F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,1,0,0,0,Core staff,1,1,54.0,0
F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,1,1,1,0,Cleaning staff,1,1,46.0,0
F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,1,51.0,0
M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,1,1,44.0,0
M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unidentified,1,1,62.0,1
F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2,1,54.0,0
M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,1,0,0,0,Security staff,1,1,53.0,0
F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,unidentified,1,1,63.0,1
F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unidentified,2,1,63.0,1
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,1,1,1,0,unidentified,3,1,31.0,0
M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,1,1,1,0,unidentified,3,1,31.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,39.0,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,2,1,39.0,0
M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,1,1,39.0,0
M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Managers,1,1,39.0,0
F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,6,1,47.0,0
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,62.0,1
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,62.0,1
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,62.0,1
M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,1,41.0,0
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,3,1,35.0,0
F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,1,0,unidentified,1,1,61.0,1
F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,unidentified,1,1,65.0,1
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unidentified,2,1,58.0,1
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unidentified,2,1,58.0,1
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unidentified,2,1,58.0,1
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,unidentified,2,1,58.0,1
M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,unidentified,2,1,58.0,1
F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,1,49.0,0
F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,2,1,38.0,0
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,57.0,1
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,2,1,44.0,0
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,1,0,1,0,High skill tech staff,2,1,44.0,0
M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Cooking staff,1,1,49.0,0
M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Laborers,3,1,35.0,0
F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,1,1,0,0,Sales staff,4,1,27.0,0
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,0
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,0
M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,0
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,1,29.0,0
F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,1,0,0,0,Core staff,1,1,29.0,0
M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Laborers,2,1,51.0,0
F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,1,28.0,0
F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,1,28.0,0
M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,1,48.0,0
M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Managers,4,1,48.0,0
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,1,44.0,0
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,3,1,44.0,0
F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,1,51.0,0
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,1,51.0,0
F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Core staff,1,1,51.0,0
M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,1,Laborers,3,1,35.0,0
F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unidentified,2,1,59.0,1
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,1,60.0,1
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,1,Managers,1,1,27.0,0
F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Sales staff,3,1,34.0,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2,1,55.0,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,1,0,Managers,1,1,39.0,0
M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2,1,47.0,0
M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,1,0,0,0,Security staff,2,1,47.0,0
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,1,26.0,0
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,1,0,1,1,Core staff,3,1,26.0,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,1,47.0,0
F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,Medicine staff,2,1,33.0,0
F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,1,0,1,1,Medicine staff,2,1,33.0,0
F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,Cleaning staff,3,0,43.0,0
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,48.0,0
F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,1,1,Sales staff,2,0,35.0,0
F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Core staff,2,0,56.0,0
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Private service staff,3,0,44.0,0
F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,0,39.0,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,47.0,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,1,0,66.0,1
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,1,1,0,0,Core staff,2,0,31.0,0
F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unidentified,2,0,60.0,1
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,0,56.0,1
M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,1,1,0,0,unidentified,3,0,28.0,0
M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Core staff,2,0,58.0,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,1,0,40.0,0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unidentified,1,0,40.0,0
F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,0,29.0,0
F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,0,59.0,1
M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,1,0,0,0,unidentified,2,0,45.0,1
F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,0,59.0,1
F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,1,0,0,0,unidentified,2,0,34.0,0
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,0,33.0,0
M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,0,64.0,1
M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,1,0,0,0,Laborers,2,0,39.0,0
F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unidentified,1,0,67.0,1
F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,1,1,1,0,Core staff,2,0,36.0,0
F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,1,0,1,0,unidentified,2,0,48.0,0
F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,4,0,27.0,0
M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,1,0,0,0,unidentified,1,0,52.0,0
M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,27.0,0
F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,unidentified,2,0,45.0,0
F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,1,unidentified,4,0,35.0,0
F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Medicine staff,2,0,46.0,0
M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,32.0,0
F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,0,27.0,0
M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,1,1,0,1,High skill tech staff,2,0,55.0,0
F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Private service staff,4,0,38.0,0
M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,4,0,36.0,0
F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,1,0,1,0,Core staff,2,0,28.0,0
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,2,0,41.0,0
F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unidentified,2,0,54.0,1
M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,1,1,0,0,Drivers,2,0,51.0,0
F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,unidentified,1,0,60.0,1
M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,unidentified,4,0,38.0,0
M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,unidentified,1,0,31.0,0
F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unidentified,2,0,66.0,1
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2,0,29.0,0
F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,4,0,39.0,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,0,47.0,0
F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,HR staff,1,0,39.0,0
F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,0,33.0,0
F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Accountants,2,0,40.0,0
F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,1,0,1,0,Core staff,3,0,43.0,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,0,27.0,0
M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,1,0,0,Laborers,1,0,27.0,0
F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,0,Managers,2,0,27.0,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Sales staff,1,0,50.0,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unidentified,2,0,41.0,0
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,1,0,0,0,unidentified,3,0,27.0,0
F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,unidentified,4,0,32.0,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Drivers,2,0,43.0,0
F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,1,Laborers,1,0,52.0,0
F,Y,Y,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,1,Cleaning staff,1,0,47.0,0
M,N,Y,1,900000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,42.0,0
F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Laborers,2,0,39.0,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,1,0,1,0,unidentified,2,0,39.0,0
M,Y,N,0,270000.0,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unidentified,2,0,64.0,1
M,N,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,45.0,0
F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Accountants,2,0,57.0,0
F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,1,0,1,0,Medicine staff,4,0,37.0,0
